record_id,vedecky_nazev,cesky_nazev,status_v_CR,cast_rostliny,domena,poddomena,status_znalosti,aplikovatelnost_v_CR,typicke_lokality_v_CR,obdobi_ziskani,fenologicka_faze,zpusob_pripravy_nebo_vyuziti,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_CR,dukaznost_typ,dukaznost_skore,zdroj_id_1,zdroj_id_2,poznamka,record_numeric_id,is_trvanlive_1m_plus,is_jadro_bezne_1m_plus,domena_slug,status_znalosti_slug,aplikovatelnost_slug,dukaznost_rank,ma_druhy_zdroj,obdobi_mesic_od,obdobi_mesic_do,cast_rostliny_skupina,cast_rostliny_je_kombinovana,poddomena_kategorie,poddomena_kategorie_confidence,status_contains_puvodni,status_contains_zdomacnely,status_contains_pestovany,status_contains_zplanujici,status_contains_invazni,status_cetnost
R001,Tilia cordata / Tilia platyphyllos,lípa srdčitá / lípa velkolistá,"původní, běžná",květ,pití,nálev / čaj,mainstream,vysoká,"aleje, parky, návsi, listnaté lesy, staré sady",VI–VII,plné kvetení,Sušit rychle ve stínu; z květů připravit nálev.,"Chuťový nápoj, tradičně při nachlazení a pro zklidnění.","jemně nasládlý, květový",medově květový,neaplikovatelné,Alergie u citlivých osob; kvalita rychle klesá při špatném sušení.,V těhotenství/kojení nejsou dostatečná data; u citlivých osob možnost alergie.,Běžný sběr mimo chráněné lokality; nesnižovat vitalitu stromu nadměrným otrháním.,EMA + etnobotanika,A,S03,S01,Základní český aromatický a léčebný strom.,1,False,False,piti,mainstream,vysoka,5,True,6,7,kvetni_cast,False,caj_nalev,medium,True,False,False,False,False,bezny
R002,Tilia cordata / Tilia platyphyllos,lípa srdčitá / lípa velkolistá,"původní, běžná",květ,fytoterapie,tradiční bylinný léčivý přípravek,mainstream,vysoká,"aleje, parky, návsi, listnaté lesy, staré sady",VI–VII,plné kvetení,Nálev z květů pro krátkodobé užití.,Tradičně úleva při nachlazení a mírném psychickém napětí.,jemně sladký,květový,neaplikovatelné,Nenahrazuje lékařské vyšetření u těžších stavů.,Pozor u přetrvávajících symptomů; alergie možná.,Pro jistotu preferovat vlastní/pěstované zdroje nebo legální sběr.,EMA monografie,A,S03,,Vhodné držet odděleně od čistě kulinárních záznamů.,2,False,False,fytoterapie,mainstream,vysoka,5,False,6,7,kvetni_cast,False,ostatni_specialni,low,True,False,False,False,False,bezny
R003,Tilia spp.,lípa,"původní, běžná",květní pupeny,potrava,jarní zelenina / kuriozita,téměř zapomenuté,střední,"parky, aleje, lesní okraje, vesnické stromy",IV–V,nalévající se pupeny před rozvinutím květů,Historicky zaznamenáno vaření nebo přímá konzumace malého množství pupenů.,Sezónní jedlá kuriozita.,"jemně zelený, lehce slizovitý",slabý,neaplikovatelné,Nízký výnos; snadné přehnaně poškodit budoucí kvetení stromu.,Bez zvláštních interakcí; hlavní riziko je praktické a ekologické.,Sbírat jen střídmě a spíše z vlastních/pěstovaných stromů.,česká etnobotanika,B,S01,,"Vzácnější záznam; vhodné jako kurátorská položka, ne jako masový sběr.",3,False,False,potrava,temer_zapomenute,stredni,4,False,4,5,kombinovana_cast,True,cerstva_potrava,medium,True,False,False,False,False,bezny
R004,Tilia spp.,lípa,"původní, běžná",mladé plody,potrava,dětská svačina / kuriozita,téměř zapomenuté,střední,"parky, aleje, lesní okraje",VI–VII,mladé měkké plůdky,V etnobotanických záznamech uváděno okusování či pojídání mladých plůdků.,Drobná sezónní svačina bez velkého výnosu.,nevýrazně oříškový až zelený,slabý,neaplikovatelné,"Nízká výnosnost; záměna termínu sklizně = tvrdé, nevhodné.",Bez zvláštních interakcí známých; jde spíše o folklórní potravní detail.,Jen střídmý sběr.,česká etnobotanika,B,S01,,Kuriózní položka vhodná právě pro „zapomenutý“ profil databáze.,4,False,False,potrava,temer_zapomenute,stredni,4,False,6,7,plodova_cast,False,cerstva_potrava,medium,True,False,False,False,False,bezny
R005,Sambucus nigra,bez černý,"původní, velmi běžný",květ,pití,sirup / limonáda / cordial,mainstream,vysoká,"křoviny, okraje cest, remízky, ruderály, ploty",V–VI,čerstvě rozkvetlá květenství za sucha,"Z květů sirup, limonáda nebo lehce fermentovaný nápoj.",Aromatický nápoj a kulinární základ.,medově květový,intenzivně květový,neaplikovatelné,Sběr po dešti zhoršuje aroma; pozor na plísně a hmyz.,Bezové zelené části nejsou vhodné k jídlu.,Běžný sběr; ne u silnic a postřiků.,EMA + etnobotanika,A,S08,S01,Velmi vhodné pro praktickou část databáze.,5,False,False,piti,mainstream,vysoka,5,True,5,6,kvetni_cast,False,sirup_koncentrat,medium,True,False,False,False,False,velmi_bezny
R006,Sambucus nigra,bez černý,"původní, velmi běžný",květ,fytoterapie,nálev,mainstream,vysoká,"křoviny, okraje cest, remízky, ruderály, ploty",V–VI,plné kvetení,Sušený nebo čerstvý květ jako nálev krátkodobě při začátku nachlazení.,Tradiční úleva při časných příznacích nachlazení.,jemný,květový,neaplikovatelné,Neřeší komplikované nebo déletrvající infekty.,Pro dospělé a dospívající; při zhoršení stavu vyšetřit lékařem.,Sběr obvykle legální mimo chráněné režimy.,EMA monografie,A,S08,,Fytoterapeutický záznam oddělen od sirupu.,6,False,False,fytoterapie,mainstream,vysoka,5,False,5,6,kvetni_cast,False,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R007,Sambucus nigra,bez černý,"původní, velmi běžný",květenství,potrava,smažené květenství / kosmatice,méně známé,vysoká,"křoviny, ploty, remízky, zahrady",V–VI,plně otevřené květy,Celé květenství obalit v těstíčku a osmažit.,Sezónní jarní jídlo.,sladce květový,květový,neaplikovatelné,"Nutné používat čerstvé, zdravé květy.",Osoby citlivé na pyl mohou hůře tolerovat.,Sběr běžně možný.,česká etnobotanika,B,S01,,"V ČR známé regionálně, ale ne univerzálně.",7,False,False,potrava,mene_zname,vysoka,4,False,5,6,kvetni_cast,False,ostatni_specialni,low,True,False,False,False,False,velmi_bezny
R008,Sambucus nigra,bez černý,"původní, velmi běžný",plod,potrava a pití,šťáva / džem / víno / likér,mainstream,vysoká,"křoviny, ploty, remízky, vlhčí okraje cest",VIII–IX,plně zralé černé plody,"Plody vařit nebo jinak tepelně zpracovat; používat do sirupů, džemů, vín a likérů.","Barva, chuť, skladovatelný produkt.","tmavě ovocný, svíravý",ovocný,neaplikovatelné,Nezralé plody a jiné části rostliny jsou problematické; syrové nemusí sedět trávení.,Opatrnost u citlivého trávení.,Sběr běžně možný.,etnobotanika + obecná bezpečnostní tradice,B,S01,S08,U bezu je důležité jasně rozlišit květ a plod.,8,False,False,potrava_a_piti,mainstream,vysoka,4,True,8,9,plodova_cast,False,liker_macerat,medium,True,False,False,False,False,velmi_bezny
R009,Betula pendula / Betula pubescens,bříza bělokorá / pýřitá,"původní, běžná",míza,pití,čerstvá jarní míza,méně známé,vysoká,"paseky, lesní okraje, písčiny, vřesoviště, zahrady, remízky",III–IV,silné jarní proudění mízy před plným olistěním,Čerstvě odebraná míza se pije jako lehký jarní nápoj.,Hydratace a sezónní chuťový zdroj.,"jemně nasládlý, vodnatý","svěží, velmi slabý",neaplikovatelné,Nevhodný invazivní odběr může poškodit strom; rychle se kazí.,U diabetu nebo restrikcí tekutin zvažovat individuálně.,Neporušovat cizí stromy a chráněné režimy; preferovat šetrný odběr.,česká etnobotanika + globální analog,B,S01,S02,"V ČR méně běžné než na severu a východě Evropy, ale plně přenositelné.",9,False,False,piti,mene_zname,vysoka,4,True,3,4,miza,False,ostatni_specialni,low,True,False,False,False,False,bezny
R010,Betula pendula / Betula pubescens,bříza bělokorá / pýřitá,"původní, běžná",míza,pití,fermentovaný nápoj / sirup / ocet,globální analog,střední,"paseky, lesní okraje, písčiny, vřesoviště, zahrady",III–IV,jarní odběr mízy,"V severní a východní Evropě se míza používá i na lehce fermentované nápoje, ocet či zahušťované produkty.",Rozšíření repertoáru nad rámec české tradice.,lehce sladký až kyselkavý po fermentaci,slabý,neaplikovatelné,Nutná hygienická disciplína při fermentaci; vysoká kazivost.,Nevhodné pro improvizovanou fermentaci bez zkušenosti.,Stejná právní opatrnost jako u čerstvé mízy.,globální etnobotanický analog,D,S02,,"Silně aplikovatelné na ČR, ale není to běžná česká praxe.",10,False,False,piti,globalni_analog,stredni,2,False,3,4,miza,False,sirup_koncentrat,medium,True,False,False,False,False,bezny
