alias_id,plant_id,alias,jazyk,typ_aliasu,je_preferovany,pocet_vyskytu
plant_abies_alba_cz_1,plant_abies_alba,jedle bělokorá,cs,cesky_nazev,True,3
plant_abies_alba_la_1,plant_abies_alba,Abies alba,la,vedecky_nazev,True,3
plant_acer_platanoides_acer_pseudoplatanus_acer_campestre_cz_1,plant_acer_platanoides_acer_pseudoplatanus_acer_campestre,javor mléč / javor klen / javor babyka,cs,cesky_nazev,True,2
plant_acer_platanoides_acer_pseudoplatanus_acer_campestre_la_1,plant_acer_platanoides_acer_pseudoplatanus_acer_campestre,Acer platanoides / Acer pseudoplatanus / Acer campestre,la,vedecky_nazev,True,2
plant_achillea_millefolium_cz_1,plant_achillea_millefolium,řebříček obecný,cs,cesky_nazev,True,2
plant_achillea_millefolium_la_1,plant_achillea_millefolium,Achillea millefolium,la,vedecky_nazev,True,2
plant_aegopodium_podagraria_cz_1,plant_aegopodium_podagraria,bršlice kozí noha,cs,cesky_nazev,True,1
plant_aegopodium_podagraria_la_1,plant_aegopodium_podagraria,Aegopodium podagraria,la,vedecky_nazev,True,1
plant_alliaria_petiolata_m_bieb_cavara_grande_cz_1,plant_alliaria_petiolata_m_bieb_cavara_grande,česnáček lékařský,cs,cesky_nazev,True,2
plant_alliaria_petiolata_m_bieb_cavara_grande_la_1,plant_alliaria_petiolata_m_bieb_cavara_grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,la,vedecky_nazev,True,2
plant_allium_cepa_cz_1,plant_allium_cepa,cibule kuchyňská,cs,cesky_nazev,True,2
plant_allium_cepa_la_1,plant_allium_cepa,Allium cepa,la,vedecky_nazev,True,2
plant_allium_sativum_cz_1,plant_allium_sativum,česnek setý,cs,cesky_nazev,True,2
plant_allium_sativum_la_1,plant_allium_sativum,Allium sativum,la,vedecky_nazev,True,2
plant_allium_schoenoprasum_cz_1,plant_allium_schoenoprasum,pažitka pobřežní,cs,cesky_nazev,True,1
plant_allium_schoenoprasum_la_1,plant_allium_schoenoprasum,Allium schoenoprasum,la,vedecky_nazev,True,1
plant_allium_ursinum_cz_1,plant_allium_ursinum,česnek medvědí,cs,cesky_nazev,True,1
plant_allium_ursinum_la_1,plant_allium_ursinum,Allium ursinum,la,vedecky_nazev,True,1
plant_anthriscus_sylvestris_cz_1,plant_anthriscus_sylvestris,kerblík lesní,cs,cesky_nazev,True,1
plant_anthriscus_sylvestris_la_1,plant_anthriscus_sylvestris,Anthriscus sylvestris,la,vedecky_nazev,True,1
plant_apium_graveolens_var_rapaceum_cz_1,plant_apium_graveolens_var_rapaceum,celer bulvový,cs,cesky_nazev,True,1
