use_processing_method_id,use_id,raw_record_id,processing_method_id,method_order,from_trvanlive_sheet
r005_sirup,r005,R005,sirup,1,False
r005_kvaseni,r005,R005,kvaseni,2,False
r006_suseni,r006,R006,suseni,1,False
r008_sirup,r008,R008,sirup,1,False
r008_zavareni,r008,R008,zavareni,2,False
r008_tinktura,r008,R008,tinktura,3,False
r008_cukrovani,r008,R008,cukrovani,4,False
r010_sirup,r010,R010,sirup,1,False
r010_kvaseni,r010,R010,kvaseni,2,False
r010_ocet,r010,R010,ocet,3,False
r012_kvaseni,r012,R012,kvaseni,1,False
r013_tinktura,r013,R013,tinktura,1,False
r020_suseni,r020,R020,suseni,1,False
r021_sirup,r021,R021,sirup,1,False
r021_zavareni,r021,R021,zavareni,2,False
r021_cukrovani,r021,R021,cukrovani,3,False
r033_sirup,r033,R033,sirup,1,False
r033_kvaseni,r033,R033,kvaseni,2,False
r033_ocet,r033,R033,ocet,3,False
r041_sirup,r041,R041,sirup,1,False
r046_sirup,r046,R046,sirup,1,False
r046_zavareni,r046,R046,zavareni,2,False
r046_ocet,r046,R046,ocet,3,False
r046_cukrovani,r046,R046,cukrovani,4,False
r049_suseni,r049,R049,suseni,1,False
r049_sirup,r049,R049,sirup,2,False
r049_zavareni,r049,R049,zavareni,3,False
r049_cukrovani,r049,R049,cukrovani,4,False
r049_kompot,r049,R049,kompot,5,False
r050_suseni,r050,R050,suseni,1,False
r050_sirup,r050,R050,sirup,2,False
r057_sirup,r057,R057,sirup,1,False
r058_sirup,r058,R058,sirup,1,False
r059_sirup,r059,R059,sirup,1,False
r060_sirup,r060,R060,sirup,1,False
r061_sirup,r061,R061,sirup,1,False
r062_sirup,r062,R062,sirup,1,False
r063_suseni,r063,R063,suseni,1,False
r063_zavareni,r063,R063,zavareni,2,False
r063_tinktura,r063,R063,tinktura,3,False
r063_cukrovani,r063,R063,cukrovani,4,False
r064_zavareni,r064,R064,zavareni,1,False
r064_tinktura,r064,R064,tinktura,2,False
r064_cukrovani,r064,R064,cukrovani,3,False
r065_suseni,r065,R065,suseni,1,False
r066_suseni,r066,R066,suseni,1,False
r067_kvaseni,r067,R067,kvaseni,1,False
r067_ocet,r067,R067,ocet,2,False
r068_suseni,r068,R068,suseni,1,False
r068_kompot,r068,R068,kompot,2,False
r069_suseni,r069,R069,suseni,1,False
r069_kvaseni,r069,R069,kvaseni,2,False
r070_suseni,r070,R070,suseni,1,False
r070_zavareni,r070,R070,zavareni,2,False
r070_cukrovani,r070,R070,cukrovani,3,False
r071_kvaseni,r071,R071,kvaseni,1,False
r071_ocet,r071,R071,ocet,2,False
r072_suseni,r072,R072,suseni,1,False
r072_kompot,r072,R072,kompot,2,False
r073_sirup,r073,R073,sirup,1,False
r073_zavareni,r073,R073,zavareni,2,False
r073_cukrovani,r073,R073,cukrovani,3,False
r073_kompot,r073,R073,kompot,4,False
r074_mrazeni,r074,R074,mrazeni,1,False
r074_sirup,r074,R074,sirup,2,False
r074_zavareni,r074,R074,zavareni,3,False
r074_cukrovani,r074,R074,cukrovani,4,False
r075_suseni,r075,R075,suseni,1,False
r076_mrazeni,r076,R076,mrazeni,1,False
r076_sirup,r076,R076,sirup,2,False
r076_zavareni,r076,R076,zavareni,3,False
r076_cukrovani,r076,R076,cukrovani,4,False
r077_zavareni,r077,R077,zavareni,1,False
r077_cukrovani,r077,R077,cukrovani,2,False
r077_kompot,r077,R077,kompot,3,False
r078_sirup,r078,R078,sirup,1,False
r078_zavareni,r078,R078,zavareni,2,False
