use_source_id,use_id,source_id,raw_source_id,role_zdroje,poradi
r001_s03,r001,s03,S03,primary,1
r001_s01,r001,s01,S01,secondary,2
r002_s03,r002,s03,S03,primary,1
r003_s01,r003,s01,S01,primary,1
r004_s01,r004,s01,S01,primary,1
r005_s08,r005,s08,S08,primary,1
r005_s01,r005,s01,S01,secondary,2
r006_s08,r006,s08,S08,primary,1
r007_s01,r007,s01,S01,primary,1
r008_s01,r008,s01,S01,primary,1
r008_s08,r008,s08,S08,secondary,2
r009_s01,r009,s01,S01,primary,1
r009_s02,r009,s02,S02,secondary,2
r010_s02,r010,s02,S02,primary,1
r011_s07,r011,s07,S07,primary,1
r012_s05,r012,s05,S05,primary,1
r012_s01,r012,s01,S01,secondary,2
r013_s01,r013,s01,S01,primary,1
r013_s05,r013,s05,S05,secondary,2
r014_s01,r014,s01,S01,primary,1
r015_s05,r015,s05,S05,primary,1
r016_s01,r016,s01,S01,primary,1
r016_s10,r016,s10,S10,secondary,2
r017_s10,r017,s10,S10,primary,1
r018_s04,r018,s04,S04,primary,1
r019_s01,r019,s01,S01,primary,1
r020_s01,r020,s01,S01,primary,1
r021_s01,r021,s01,S01,primary,1
r022_s01,r022,s01,S01,primary,1
r022_s11,r022,s11,S11,secondary,2
r023_s11,r023,s11,S11,primary,1
r023_s01,r023,s01,S01,secondary,2
r024_s06,r024,s06,S06,primary,1
r025_s09,r025,s09,S09,primary,1
r026_s14,r026,s14,S14,primary,1
r027_s12,r027,s12,S12,primary,1
r027_s13,r027,s13,S13,secondary,2
r028_s13,r028,s13,S13,primary,1
r028_s12,r028,s12,S12,secondary,2
r029_s13,r029,s13,S13,primary,1
r029_s12,r029,s12,S12,secondary,2
r030_s12,r030,s12,S12,primary,1
r030_s13,r030,s13,S13,secondary,2
r031_s12,r031,s12,S12,primary,1
r031_s13,r031,s13,S13,secondary,2
r032_s02,r032,s02,S02,primary,1
r033_s02,r033,s02,S02,primary,1
r034_s15,r034,s15,S15,primary,1
r035_s15,r035,s15,S15,primary,1
r036_s15,r036,s15,S15,primary,1
r037_s16,r037,s16,S16,primary,1
r038_s16,r038,s16,S16,primary,1
r039_s17,r039,s17,S17,primary,1
r040_s17,r040,s17,S17,primary,1
r041_s18,r041,s18,S18,primary,1
r042_s18,r042,s18,S18,primary,1
r043_s22,r043,s22,S22,primary,1
r044_s19,r044,s19,S19,primary,1
r045_s19,r045,s19,S19,primary,1
r046_s01,r046,s01,S01,primary,1
r047_s20,r047,s20,S20,primary,1
r048_s20,r048,s20,S20,primary,1
r049_s01,r049,s01,S01,primary,1
r050_s01,r050,s01,S01,primary,1
r051_s01,r051,s01,S01,primary,1
r052_s01,r052,s01,S01,primary,1
r053_s01,r053,s01,S01,primary,1
r054_s01,r054,s01,S01,primary,1
r055_s23,r055,s23,S23,primary,1
r056_s23,r056,s23,S23,primary,1
r057_s21,r057,s21,S21,primary,1
r057_s22,r057,s22,S22,secondary,2
r058_s21,r058,s21,S21,primary,1
r058_s22,r058,s22,S22,secondary,2
r059_s21,r059,s21,S21,primary,1
r060_s21,r060,s21,S21,primary,1
r061_s21,r061,s21,S21,primary,1
r062_s21,r062,s21,S21,primary,1
r063_s01,r063,s01,S01,primary,1
r064_s01,r064,s01,S01,primary,1
r065_s01,r065,s01,S01,primary,1
r066_s27,r066,s27,S27,primary,1
r067_s27,r067,s27,S27,primary,1
r068_s27,r068,s27,S27,primary,1
r069_s27,r069,s27,S27,primary,1
r070_s30,r070,s30,S30,primary,1
r071_s30,r071,s30,S30,primary,1
r072_s30,r072,s30,S30,primary,1
r073_s30,r073,s30,S30,primary,1
r074_s30,r074,s30,S30,primary,1
r074_s24,r074,s24,S24,secondary,2
r075_s24,r075,s24,S24,primary,1
r076_s30,r076,s30,S30,primary,1
r077_s30,r077,s30,S30,primary,1
r078_s30,r078,s30,S30,primary,1
r079_s30,r079,s30,S30,primary,1
r080_s25,r080,s25,S25,primary,1
r081_s26,r081,s26,S26,primary,1
r082_s30,r082,s30,S30,primary,1
r083_s30,r083,s30,S30,primary,1
r084_s30,r084,s30,S30,primary,1
r085_s30,r085,s30,S30,primary,1
r086_s30,r086,s30,S30,primary,1
r087_s30,r087,s30,S30,primary,1
r088_s30,r088,s30,S30,primary,1
r089_s30,r089,s30,S30,primary,1
r090_s30,r090,s30,S30,primary,1
r091_s30,r091,s30,S30,primary,1
r092_s30,r092,s30,S30,primary,1
r093_s30,r093,s30,S30,primary,1
r093_s28,r093,s28,S28,secondary,2
r094_s30,r094,s30,S30,primary,1
r095_s30,r095,s30,S30,primary,1
r096_s30,r096,s30,S30,primary,1
r097_s28,r097,s28,S28,primary,1
r098_s28,r098,s28,S28,primary,1
r099_s29,r099,s29,S29,primary,1
r100_s29,r100,s29,S29,primary,1
r101_s30,r101,s30,S30,primary,1
r102_s30,r102,s30,S30,primary,1
r103_s30,r103,s30,S30,primary,1
r104_s30,r104,s30,S30,primary,1
r105_s30,r105,s30,S30,primary,1
r106_s30,r106,s30,S30,primary,1
r106_s01,r106,s01,S01,secondary,2
r107_s01,r107,s01,S01,primary,1
r108_s31,r108,s31,S31,primary,1
r108_s01,r108,s01,S01,secondary,2
r109_s01,r109,s01,S01,primary,1
r109_s31,r109,s31,S31,secondary,2
r110_s31,r110,s31,S31,primary,1
r110_s01,r110,s01,S01,secondary,2
r111_s31,r111,s31,S31,primary,1
r112_s35,r112,s35,S35,primary,1
r112_s30,r112,s30,S30,secondary,2
r113_s35,r113,s35,S35,primary,1
r114_s36,r114,s36,S36,primary,1
r114_s30,r114,s30,S30,secondary,2
r115_s36,r115,s36,S36,primary,1
r116_s36,r116,s36,S36,primary,1
r117_s37,r117,s37,S37,primary,1
r118_s37,r118,s37,S37,primary,1
r119_s38,r119,s38,S38,primary,1
r120_s38,r120,s38,S38,primary,1
r121_s38,r121,s38,S38,primary,1
r122_s38,r122,s38,S38,primary,1
r123_s40,r123,s40,S40,primary,1
r124_s40,r124,s40,S40,primary,1
r125_s41,r125,s41,S41,primary,1
r126_s41,r126,s41,S41,primary,1
r127_s41,r127,s41,S41,primary,1
r128_s39,r128,s39,S39,primary,1
r129_s39,r129,s39,S39,primary,1
r130_s39,r130,s39,S39,primary,1
r131_s42,r131,s42,S42,primary,1
r132_s42,r132,s42,S42,primary,1
r133_s43,r133,s43,S43,primary,1
r134_s43,r134,s43,S43,primary,1
r135_s34,r135,s34,S34,primary,1
r136_s34,r136,s34,S34,primary,1
r137_s34,r137,s34,S34,primary,1
r138_s33,r138,s33,S33,primary,1
r139_s33,r139,s33,S33,primary,1
r140_s32,r140,s32,S32,primary,1
r140_s30,r140,s30,S30,secondary,2
r141_s32,r141,s32,S32,primary,1
r142_s48,r142,s48,S48,primary,1
r142_s30,r142,s30,S30,secondary,2
r143_s48,r143,s48,S48,primary,1
r144_s47,r144,s47,S47,primary,1
r144_s06,r144,s06,S06,secondary,2
r145_s47,r145,s47,S47,primary,1
r146_s47,r146,s47,S47,primary,1
r146_s06,r146,s06,S06,secondary,2
r147_s44,r147,s44,S44,primary,1
r148_s44,r148,s44,S44,primary,1
r149_s44,r149,s44,S44,primary,1
r150_s45,r150,s45,S45,primary,1
r151_s45,r151,s45,S45,primary,1
r152_s46,r152,s46,S46,primary,1
r153_s46,r153,s46,S46,primary,1
r154_s46,r154,s46,S46,primary,1
r154_s18,r154,s18,S18,secondary,2
r155_s27,r155,s27,S27,primary,1
r155_s49,r155,s49,S49,secondary,2
r156_s27,r156,s27,S27,primary,1
r156_s49,r156,s49,S49,secondary,2
r157_s27,r157,s27,S27,primary,1
r157_s50,r157,s50,S50,secondary,2
r158_s27,r158,s27,S27,primary,1
r158_s50,r158,s50,S50,secondary,2
r159_s30,r159,s30,S30,primary,1
r159_s51,r159,s51,S51,secondary,2
r160_s30,r160,s30,S30,primary,1
r160_s51,r160,s51,S51,secondary,2
r161_s01,r161,s01,S01,primary,1
r161_s52,r161,s52,S52,secondary,2
r162_s01,r162,s01,S01,primary,1
r162_s52,r162,s52,S52,secondary,2
r163_s53,r163,s53,S53,primary,1
r164_s25,r164,s25,S25,primary,1
r165_s26,r165,s26,S26,primary,1
r165_s62,r165,s62,S62,secondary,2
r166_s08,r166,s08,S08,primary,1
r166_s59,r166,s59,S59,secondary,2
r167_s01,r167,s01,S01,primary,1
r167_s59,r167,s59,S59,secondary,2
r168_s59,r168,s59,S59,primary,1
r169_s01,r169,s01,S01,primary,1
r169_s58,r169,s58,S58,secondary,2
r170_s56,r170,s56,S56,primary,1
r171_s20,r171,s20,S20,primary,1
r171_s57,r171,s57,S57,secondary,2
r172_s48,r172,s48,S48,primary,1
r173_s30,r173,s30,S30,primary,1
r173_s63,r173,s63,S63,secondary,2
r174_s55,r174,s55,S55,primary,1
r175_s55,r175,s55,S55,primary,1
r176_s01,r176,s01,S01,primary,1
r176_s60,r176,s60,S60,secondary,2
r177_s31,r177,s31,S31,primary,1
r177_s61,r177,s61,S61,secondary,2
r178_s02,r178,s02,S02,primary,1
r179_s05,r179,s05,S05,primary,1
r180_s04,r180,s04,S04,primary,1
r181_s10,r181,s10,S10,primary,1
r182_s11,r182,s11,S11,primary,1
r183_s44,r183,s44,S44,primary,1
r184_s19,r184,s19,S19,primary,1
r185_s09,r185,s09,S09,primary,1
r186_s33,r186,s33,S33,primary,1
r187_s34,r187,s34,S34,primary,1
r188_s47,r188,s47,S47,primary,1
r189_s16,r189,s16,S16,primary,1
r190_s17,r190,s17,S17,primary,1
r191_s15,r191,s15,S15,primary,1
r192_s21,r192,s21,S21,primary,1
r193_s21,r193,s21,S21,primary,1
r193_s22,r193,s22,S22,secondary,2
r194_s21,r194,s21,S21,primary,1
r195_s01,r195,s01,S01,primary,1
r195_s58,r195,s58,S58,secondary,2
r196_s30,r196,s30,S30,primary,1
r196_s57,r196,s57,S57,secondary,2
r197_s48,r197,s48,S48,primary,1
r198_s01,r198,s01,S01,primary,1
r198_s52,r198,s52,S52,secondary,2
r199_s30,r199,s30,S30,primary,1
r199_s54,r199,s54,S54,secondary,2
r200_s30,r200,s30,S30,primary,1
r201_s66,r201,s66,S66,primary,1
r202_s66,r202,s66,S66,primary,1
r203_s67,r203,s67,S67,primary,1
r204_s70,r204,s70,S70,primary,1
r205_s70,r205,s70,S70,primary,1
r206_s70,r206,s70,S70,primary,1
r207_s68,r207,s68,S68,primary,1
r208_s68,r208,s68,S68,primary,1
r209_s68,r209,s68,S68,primary,1
r210_s71,r210,s71,S71,primary,1
r211_s71,r211,s71,S71,primary,1
r212_s64,r212,s64,S64,primary,1
r212_s78,r212,s78,S78,secondary,2
r213_s64,r213,s64,S64,primary,1
r213_s78,r213,s78,S78,secondary,2
r214_s65,r214,s65,S65,primary,1
r215_s65,r215,s65,S65,primary,1
r216_s65,r216,s65,S65,primary,1
r217_s12,r217,s12,S12,primary,1
r217_s13,r217,s13,S13,secondary,2
r218_s31,r218,s31,S31,primary,1
r218_s61,r218,s61,S61,secondary,2
r219_s61,r219,s61,S61,primary,1
r220_s60,r220,s60,S60,primary,1
r221_s60,r221,s60,S60,primary,1
r222_s32,r222,s32,S32,primary,1
r222_s53,r222,s53,S53,secondary,2
r223_s53,r223,s53,S53,primary,1
r224_s53,r224,s53,S53,primary,1
r225_s72,r225,s72,S72,primary,1
r226_s72,r226,s72,S72,primary,1
r227_s72,r227,s72,S72,primary,1
r228_s73,r228,s73,S73,primary,1
r229_s74,r229,s74,S74,primary,1
r230_s74,r230,s74,S74,primary,1
r231_s75,r231,s75,S75,primary,1
r231_s74,r231,s74,S74,secondary,2
r232_s14,r232,s14,S14,primary,1
r232_s76,r232,s76,S76,secondary,2
r233_s48,r233,s48,S48,primary,1
r234_s56,r234,s56,S56,primary,1
r235_s01,r235,s01,S01,primary,1
r235_s59,r235,s59,S59,secondary,2
r236_s18,r236,s18,S18,primary,1
r237_s01,r237,s01,S01,primary,1
r237_s52,r237,s52,S52,secondary,2
r238_s79,r238,s79,S79,primary,1
r239_s80,r239,s80,S80,primary,1
r240_s80,r240,s80,S80,primary,1
r241_s81,r241,s81,S81,primary,1
r242_s82,r242,s82,S82,primary,1
r243_s83,r243,s83,S83,primary,1
r244_s83,r244,s83,S83,primary,1
r245_s84,r245,s84,S84,primary,1
r246_s85,r246,s85,S85,primary,1
r247_s86,r247,s86,S86,primary,1
r248_s87,r248,s87,S87,primary,1
r249_s88,r249,s88,S88,primary,1
r250_s89,r250,s89,S89,primary,1
r251_s90,r251,s90,S90,primary,1
r252_s91,r252,s91,S91,primary,1
r253_s92,r253,s92,S92,primary,1
r254_s93,r254,s93,S93,primary,1
r255_s94,r255,s94,S94,primary,1
r256_s95,r256,s95,S95,primary,1
